Start Time: 26-05-2024 21:11:18 	ControllerName: User 	ActionName: GetAllUsers 	 End Time: 26-05-2024 21:11:18 	Total time: 3.5404
Start Time: 26-05-2024 21:11:30 	ControllerName: User 	ActionName: Login 	 End Time: 26-05-2024 21:11:30 	Total time: 6.7611
Start Time: 26-05-2024 21:11:39 	ControllerName: User 	ActionName: Login 	 End Time: 26-05-2024 21:11:39 	Total time: 6.6991
Start Time: 26-05-2024 21:26:41 	ControllerName: User 	ActionName: Login 	 End Time: 26-05-2024 21:26:41 	Total time: 10.1031
Start Time: 26-05-2024 21:26:41 	ControllerName: User 	ActionName: GetAllUsers 	 End Time: 26-05-2024 21:26:41 	Total time: 4.5658
Start Time: 26-05-2024 21:27:09 	ControllerName: User 	ActionName: Login 	 End Time: 26-05-2024 21:27:09 	Total time: 4.5304
Start Time: 26-05-2024 21:27:09 	ControllerName: User 	ActionName: GetAllUsers 	 End Time: 26-05-2024 21:27:09 	Total time: 3.5393
Start Time: 26-05-2024 21:27:20 	ControllerName: User 	ActionName: GetAllUsers 	 End Time: 26-05-2024 21:27:20 	Total time: 2.79
Start Time: 26-05-2024 21:28:52 	ControllerName: User 	ActionName: GetAllUsers 	 End Time: 26-05-2024 21:28:52 	Total time: 5.7409
Start Time: 28-05-2024 18:52:01 	ControllerName: User 	ActionName: DeleteUser 	 End Time: 28-05-2024 18:52:03 	Total time: 1787.6597
